--- EZ-ISO Top 30 ---
171.85 @ 180.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
100.00 @ 0.0 deg
 95.00 @ 180.0 deg
 76.09 @ 0.0 deg
 30.00 @ 90.0 deg
 30.00 @ 90.0 deg
 20.00 @ 90.0 deg
 18.00 @ 90.0 deg
 18.00 @ 90.0 deg
 18.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg
 10.00 @ 90.0 deg

--- FABTEK-ISO Top 30 ---
208.43 @ 30.0 deg
195.00 @ 0.0 deg
195.00 @ 0.0 deg
195.00 @ 0.0 deg
195.00 @ 0.0 deg
195.00 @ 0.0 deg
195.00 @ 0.0 deg
171.85 @ 180.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
170.00 @ 0.0 deg
142.31 @ 90.0 deg
142.28 @ 90.0 deg
100.00 @ 0.0 deg
 95.00 @ 180.0 deg
 84.23 @ 30.0 deg
 83.28 @ 30.0 deg
 76.09 @ 0.0 deg
 64.00 @ 150.0 deg
 63.98 @ 150.0 deg
 55.42 @ 30.0 deg
 55.40 @ 30.0 deg
 47.84 @ 150.0 deg
